year,period,imports,exportsfob,balance,total_trade,crude_oil_exports,non_crude_oil_exports,non_oils_exports,exports_/_total_trade,crude_oil_/total_exports,non_oil_export/total_export,change_imports,change_exports,frequency
2020,Q1,3576567.853432,4109769.937398832,533202.0839668317,7686337.790830832,2944596.78004083,1165173.157358002,623998.5121361201,53.46850540840723,71.64870114127442,15.18329545548876,-33.14362354403476,-13.851606981302645,quarterly
2020,Q2,2433232.077136,2224953.154691059,-208278.922444941,4658185.23182706,1553939.08414662,671014.0705444391,352961.94961211,47.76437698288729,69.84142928449155,15.863792406951584,-31.967400679925,-45.86185629409506,quarterly
2020,Q3,3184592.729006,2993464.3347087298,-191128.3942972701,6178057.06371473,2424774.04733831,568690.2873704196,215159.25412492,48.45316745761532,81.0022694850061,7.1876337937346895,30.879119954491877,34.540555534724525,quarterly
2020,Q4,3506551.148252,3194497.017048852,-312054.13120314805,6701048.165300852,2521346.07111236,673150.9459364922,241282.807586765,47.671602087424056,78.9277954449817,7.553076628309626,10.109877357739633,6.71571997732464,quarterly
2021,Q1,4875187.84904092,2984931.954633265,-1890255.894407655,7860119.803674185,2042897.9929167505,942033.9617165144,367870.64029399503,37.97565468706939,68.44035388296632,12.324255490078412,39.03084948500406,-6.560189641660337,quarterly
2021,Q2,4692334.324428,5019682.72447938,327348.4000513805,9712017.04890738,4072324.469156706,947358.2553226744,409814.60282980185,51.685275048442215,81.12712879834592,8.164153499807222,-3.750697004401432,68.1674088646389,quarterly
2021,Q3,5335861.303505,5136555.14876399,-199306.1547410097,10472416.45226899,4026183.4374199,1110371.7113440898,552525.1802980001,49.04842327628297,78.38294967763991,10.756726333035758,13.714431551197,2.32828309475937,quarterly
2021,Q4,5940581.475488,5766618.885895794,-173962.58959220536,11707200.361383794,4269363.18417413,1497255.7017216643,810875.0888909099,49.25702736682452,74.03581316282741,14.061534235844467,11.333131383789413,12.266270270327311,quarterly
2022,Q1,7495673.519551542,7102113.62678066,-393559.89277088153,14597787.1463322,5620992.173130275,1481121.453650385,716849.4190312144,48.65198783615034,79.14534276014157,10.093465927215211,26.17743819321653,23.159060227671144,quarterly
2022,Q2,6388514.167832216,7400886.823721433,1012372.6558892156,13789400.99155365,5907967.623735509,1492919.1999859237,669435.2329231426,53.670836233239285,79.82783366986781,9.045338063777152,-14.770645344029946,4.20682085138935,quarterly
2022,Q3,6343531.776555992,5934146.080264537,-409385.6962914553,12277677.856820527,4658301.22943219,1275844.8508323466,438511.6704587382,48.33280486316054,78.49994197016007,7.389633900606469,-0.7041135089395626,-19.818445794302335,quarterly
2022,Q4,5362827.9455277845,6359608.331865064,996780.3863372788,11722436.27739285,4911916.55795139,1447691.7739136738,732238.2239479534,54.251592257573655,77.23614885747038,11.513888682091403,-15.459902552275818,7.169729997303347,quarterly
2023,Q1,6466102.384673162,6487038.881755451,20936.497082288377,12953141.266428614,5148579.67023036,1338459.2115250907,663773.8502148406,50.08081629255658,79.36717759948293,10.232308797804174,20.572624189172988,2.0037483951942634,quarterly
2023,Q2,6301948.755707856,6435130.207066224,133181.4513583677,12737078.96277407,5005707.77217629,1429422.434889926,701627.5384710664,50.52281002476165,77.78720260671139,10.9030822360149,-2.538679705326124,-0.8001905898116004,quarterly
2023,Q3,9041237.099407015,10346603.850588156,1305366.751181139,19387840.949995168,8535612.194716102,1810991.6558720532,683022.4852256929,53.36645724128831,82.49675273138917,6.601417190500304,43.46732177436557,60.78313130675833,quarterly
2023,Q4,9053777.296402328,12693619.503275592,3639842.206873264,21747396.79967792,10310703.93330782,2382915.5699677723,1095430.3534709788,58.36845494750703,81.22745392397448,8.629771462649426,0.1387000125915617,22.68392302034468,quarterly
2024,Q1,13970054.034289882,19167359.185473647,5197305.151183765,33137413.21976353,15486632.65619502,3680726.529278626,1778848.251697231,57.842050187677344,80.7969032475369,9.280612078503571,54.30083573892546,50.99995064865072,quarterly
2024,Q2,13497897.174159544,17545622.619568583,4047725.445409039,31043519.793728124,12609394.856559409,4936227.763009174,1944248.4323355416,56.519437023096245,71.86632888419808,11.081102531905175,-3.3797783385190634,-8.460928551566607,quarterly
2024,Q3,14674046.79813705,20486389.94592132,5812343.147784269,35160436.74405837,13406367.224105584,7080022.721815734,2501849.9262732235,58.26545925765054,65.44035947521681,12.212253759092984,8.713576706074889,16.760689489997972,quarterly
